English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
plentiful,abbondante,1,0,0,0,0,0,0,0,0,0
rife,abbondante,0,1,0,0,0,0,0,0,0,0
abundance,abbondanza,1,1,0,1,1,0,1,0,0,1
plenty,abbondanza,0,0,0,0,0,0,0,0,0,0
abound,abbondare,0,0,0,0,0,0,0,0,0,0
placket,abbottonatura,0,0,0,0,0,0,0,0,0,0
sketchy,abbozzato,0,1,0,0,0,0,0,0,0,0
embrace,abbracciare,1,0,0,1,0,0,1,0,1,1
hug,abbraccio,1,0,0,0,0,0,1,0,0,1
abbreviate,abbreviare,0,0,0,0,0,0,0,0,0,0
shorten,abbreviare,0,0,0,0,0,0,0,0,0,0
abbreviation,abbreviazione,0,0,0,0,0,0,0,0,0,0
shorthand,abbreviazione,0,0,0,0,0,0,0,0,0,0
tanned,abbronzato,1,0,0,0,0,0,0,0,0,0
tan,abbronzatura,0,0,0,0,0,0,0,0,0,0
aberrant,aberrante,0,1,0,0,0,0,0,0,0,0
aberration,aberrazione,0,1,0,0,1,0,0,0,0,0
spruce,abete rosso,1,0,0,0,0,0,0,0,0,0
abject,abietto,0,1,0,0,1,0,0,0,0,0
adept,abile,1,0,0,0,0,0,0,0,0,0
artful,abile,0,0,0,0,0,0,0,0,0,0
deft,abile,0,0,0,0,0,0,0,0,0,0
skillful,abile,1,0,0,0,0,0,0,0,0,1
knack,abilità,1,0,0,0,0,0,0,0,0,0
skill,abilità,0,0,0,0,0,0,0,0,0,0
sleight,abilità,0,0,0,0,0,0,0,0,0,0
enablement,abilitazione,1,0,0,0,0,0,0,0,0,1
abysmal,abissale,0,1,0,0,0,0,0,1,0,0
abyss,abisso,0,1,0,0,0,1,0,1,0,0
chasm,abisso,0,0,0,0,0,1,0,0,0,0
inhabiting,abitando,0,0,0,0,0,0,0,0,0,0
dweller,abitante,0,0,0,0,0,0,0,0,0,0
inhabitant,abitante,0,0,0,0,0,0,0,0,0,0
villager,abitante del villaggio,1,0,0,0,0,0,0,0,0,1
dwell,abitare,0,0,0,0,0,0,0,0,0,0
inhabit,abitare,0,0,0,0,0,0,0,0,0,0
inhabited,abitato,0,0,0,0,0,0,0,0,0,0
dwelling,abitazione,0,0,0,0,0,0,0,0,0,0
habitation,abitazione,0,0,0,0,0,0,0,0,0,0
clothes,abiti,0,0,0,0,0,0,0,0,0,0
habitual,abituale,0,0,0,1,0,0,0,0,0,0
regulars,abituali,0,0,0,0,0,0,0,0,0,0
habitually,abitualmente,0,0,0,0,0,0,0,0,0,0
wont,abituato,0,0,0,1,0,0,0,0,0,0
custom,abitudine,0,0,0,0,0,0,0,0,0,0
habit,abitudine,0,0,0,0,0,0,0,0,0,0
ablation,ablazione,0,0,0,0,0,0,0,0,0,0
abolish,abolire,0,1,1,0,0,0,0,0,0,0
abolition,abolizione,0,1,0,0,0,0,0,0,0,0
abominable,abominevole,0,1,0,0,1,1,0,0,0,0
abomination,abominio,0,1,1,0,1,1,0,0,0,0
aboriginal,aborigeno,0,0,0,0,0,0,0,0,0,0
abhor,aborrire,0,1,1,0,1,1,0,0,0,0
abort,abortire,0,1,0,0,0,0,0,0,0,0
abortive,abortivo,0,1,0,0,0,0,0,1,0,0
abortion,aborto,0,1,0,0,1,1,0,1,0,0
miscarriage,aborto spontaneo,0,1,0,0,0,1,0,1,0,0
abrasion,abrasione,0,1,0,0,0,0,0,0,0,0
abrogate,abrogare,0,1,0,0,0,0,0,0,0,0
repeal,abrogazione,0,0,0,0,0,0,0,0,0,0
illegally,abusivamente,0,0,0,0,0,0,0,0,0,0
abuse,abuso,0,1,1,0,1,1,0,1,0,0
misuse,abuso,0,1,0,0,0,0,0,0,0,0
aby,aby,0,0,0,0,0,0,0,0,0,0
mite,acaro,0,1,0,0,1,0,0,0,0,0
academy,accademia,1,0,0,0,0,0,0,0,0,0
academic,accademico,1,0,0,0,0,0,0,0,0,1
huddle,accalcarsi,0,0,0,0,0,0,0,0,0,0
encampment,accampamento,0,0,0,0,0,0,0,0,0,0
dogged,accanito,1,0,0,0,0,0,0,0,0,0
alongside,accanto,0,0,0,0,0,0,0,0,0,0
shelved,accantonato,0,1,0,0,0,0,0,0,0,0
robe,accappatoio,0,0,0,0,0,0,0,0,0,0
fondling,accarezza,0,0,0,0,0,0,0,0,0,0
cherish,accarezzare,1,0,0,1,0,0,1,0,1,1
begging,accattonaggio,0,1,0,0,0,0,0,0,0,0
blinded,accecato,0,1,0,0,0,0,0,0,0,0
accelerate,accelerare,0,0,0,1,0,0,0,0,0,0
quicken,accelerare,0,0,0,1,0,0,0,0,0,0
acceleration,accelerazione,0,0,0,0,0,0,0,0,0,0
beckon,accennare,0,0,0,0,0,0,0,0,0,0
inkling,accenno,0,0,0,0,0,0,0,0,0,0
ignition,accensione,0,0,0,0,0,0,0,0,0,0
accent,accento,0,0,0,0,0,0,0,0,0,0
accentuate,accentuare,0,0,0,0,0,0,0,0,0,0
ascertain,accertare,0,0,0,0,0,0,0,0,0,0
ascertained,accertato,0,0,0,0,0,0,0,0,0,0
accessible,accessibile,1,0,0,0,0,0,0,0,0,0
accession,accessione,0,0,0,0,0,0,0,0,0,0
access,accesso,0,0,0,0,0,0,0,0,0,0
accessory,accessorio,0,0,0,0,0,0,0,0,0,0
hatchet,accetta,0,0,0,0,0,0,0,0,0,0
acceptable,accettabile,1,0,0,0,0,0,0,0,0,0
passable,accettabile,0,0,0,0,0,0,0,0,0,0
accept,accettare,0,0,0,0,0,0,0,0,0,0
acceptance,accettazione,1,0,0,0,0,0,0,0,0,0
steel,acciaio,0,0,0,0,0,0,0,0,0,0
accidental,accidentale,0,1,0,0,0,1,0,0,1,0
accidentally,accidentalmente,0,0,0,0,0,0,0,0,1,0
frowning,accigliato,0,1,1,0,1,0,0,1,0,0
glum,accigliato,0,1,0,0,0,0,0,1,0,0
cosy,accogliente,1,0,0,0,0,0,0,0,0,0
welcomed,accolto,1,0,0,0,0,0,1,0,0,0
accompaniment,accompagnamento,1,0,0,1,0,0,1,0,0,1
accompanying,accompagnamento,0,0,0,0,0,0,0,0,0,0
accompany,accompagnare,0,0,0,0,0,0,0,0,0,0
joining,accoppiamento,0,0,0,0,0,0,0,0,0,0
matching,accoppiamento,0,0,0,0,0,0,0,0,0,0
coupled,accoppiato,0,0,0,0,0,0,0,0,0,0
chords,Accordi,0,0,0,0,0,0,0,0,0,0
accord,accordo,1,0,0,0,0,0,0,0,0,1
agreement,accordo,1,0,0,0,0,0,0,0,0,1
pullover,accostare,0,0,0,0,0,0,0,0,0,0
crouch,accovacciarsi,0,0,0,0,0,1,0,0,0,0
crouched,accovacciato,0,0,0,0,0,0,0,0,0,0
crouching,accovacciato,0,1,0,0,0,1,0,0,0,0
accredited,accreditato,1,0,0,0,0,0,0,0,0,1
credited,accreditato,1,0,0,0,0,0,0,0,0,0
crediting,accredito,0,0,0,0,0,0,0,0,0,0
enhance,accrescere,1,0,0,0,0,0,0,0,0,0
accretion,accrescimento,0,0,0,0,0,0,0,0,0,0
accueil,accueil,1,0,0,0,0,0,0,0,0,0
accumulate,accumulare,0,0,0,0,0,0,0,0,0,0
amass,accumulare,0,0,0,0,0,0,0,0,0,0
accumulation,accumulazione,0,0,0,0,0,0,0,0,0,0
carefully,accuratamente,1,0,0,0,0,0,0,0,0,0
accuracy,accuratezza,0,0,0,0,0,0,0,0,0,0
painstaking,accurato,0,0,0,0,0,0,0,0,0,0
accusation,accusa,0,1,1,0,1,0,0,0,0,0
impeachment,accusa,0,1,0,0,0,0,0,0,0,0
indictment,accusa,0,1,0,0,0,1,0,0,0,0
prosecution,accusa,0,1,0,0,1,0,0,0,0,0
accusing,accusando,0,1,1,0,0,1,0,0,0,0
impeach,accusare,0,1,0,0,1,1,0,0,0,0
accusative,accusativo,0,1,0,0,0,0,0,0,0,0
accused,accusato,0,1,1,0,0,1,0,0,0,0
accuser,accusatore,0,1,1,0,0,1,0,0,0,0
prosecutor,accusatore,0,0,0,0,0,0,0,0,0,0
acetic,acetico,0,0,0,0,0,0,0,0,0,0
vinegar,aceto,0,0,0,0,0,0,0,0,0,0
acidity,acidità,0,0,0,0,0,0,0,0,0,0
acid,acido,0,1,0,0,0,0,0,0,0,0
acme,acme,0,0,0,0,0,0,0,0,0,0
aqua,acqua,0,0,0,0,0,0,0,0,0,0
water,acqua,0,0,0,0,0,0,0,0,0,0
backwater,acqua stagnante,0,1,0,0,0,0,0,1,0,0
etching,acquaforte,0,0,0,0,0,0,0,0,0,0
aquamarine,acquamarina,0,0,0,0,0,0,0,0,0,0
aquarium,acquario,0,0,0,0,0,0,0,0,0,0
aquatic,acquatico,0,0,0,0,0,0,0,0,0,0
downpour,acquazzone,0,0,0,0,0,0,0,0,0,0
aqueduct,acquedotto,0,0,0,0,0,0,0,0,0,0
acquiescence,acquiescenza,0,0,0,0,0,0,0,0,0,0
buyer,acquirente,0,0,0,0,0,0,0,0,0,0
purchaser,acquirente,0,0,0,0,0,0,0,0,0,0
vested,acquisito,0,0,0,0,0,0,0,0,0,0
acquiring,acquisizione,1,0,0,1,0,0,0,0,0,0
acquisition,acquisizione,0,0,0,0,0,0,0,0,0,0
acquisitions,acquisizioni,0,0,0,0,0,0,0,0,0,0
acquire,acquistare,1,0,0,0,0,0,0,0,0,0
buy,acquistare,0,0,0,0,0,0,0,0,0,0
shopping,acquisti,1,0,0,1,0,0,1,0,1,1
buying,acquisto,0,0,0,0,0,0,0,0,0,0
purchase,acquisto,0,0,0,0,0,0,0,0,0,0
purchasing,acquisto,0,0,0,0,0,0,0,0,0,0
aqueous,acquoso,0,0,0,0,0,0,0,0,0,0
watery,acquoso,0,1,0,0,0,0,0,0,0,0
acres,acri,0,0,0,0,0,0,0,0,0,0
uncritical,acritico,0,0,0,0,0,0,0,0,0,0
acrobat,acrobata,1,0,0,0,0,1,1,0,0,1
tumbler,acrobata,0,0,0,0,0,0,0,0,0,0
acumen,acume,1,0,0,0,0,0,0,0,0,0
acoustics,acustica,0,0,0,0,0,0,0,0,0,0
acoustic,acustico,0,0,0,0,0,0,0,0,0,0
acutely,acutamente,0,0,0,0,0,0,0,0,0,0
pointedly,acutamente,1,0,0,0,0,0,0,0,0,0
acuity,acutezza,1,0,0,0,0,0,0,0,0,0
nestling,adagiato,0,0,0,0,0,0,0,0,0,0
adage,adagio,0,0,0,0,0,0,0,0,0,0
adaptable,adattabile,1,0,0,0,0,0,0,0,0,0
adapt,adattare,1,0,0,0,0,0,0,0,0,0
apt,adatto,1,0,0,0,0,0,0,0,0,0
befitting,adatto,1,0,0,0,0,0,0,0,0,0
fitting,adatto,1,0,0,1,0,0,1,0,0,1
suitable,adatto,1,0,0,0,0,0,0,0,0,0
chargeable,addebitabile,0,1,0,0,0,1,0,1,0,0
debit,addebito,0,0,0,0,0,0,0,0,0,0
thicken,addensare,0,0,0,0,0,0,0,0,0,0
adieu,addio,0,0,0,0,0,0,0,0,0,0
bye,addio,0,0,0,1,0,0,0,0,0,0
farewell,addio,0,0,0,0,0,0,0,0,0,0
additive,additivo,0,0,0,0,0,0,0,0,0,0
additional,addizionale,0,0,0,0,0,0,0,0,0,0
sweeten,addolcire,0,0,0,0,0,0,0,0,0,0
grieve,addolorarsi,0,1,0,0,0,1,0,1,0,0
pained,addolorato,0,1,0,0,0,1,0,1,0,0
abdomen,addome,0,0,0,0,0,0,0,0,0,0
domestication,addomesticamento,0,0,0,0,0,0,0,0,0,0
taming,addomesticamento,0,0,0,0,0,0,0,0,0,0
domesticated,addomesticati,0,0,0,0,0,0,0,0,0,0
abdominal,addominale,0,0,0,0,0,0,0,0,0,0
asleep,addormentato,0,0,0,0,0,0,0,0,0,0
sleeping,addormentato,0,0,0,0,0,0,0,0,0,0
adequacy,adeguatezza,1,0,0,0,0,0,0,0,0,0
adequate,adeguato,0,0,0,0,0,0,0,0,0,0
adhering,aderendo,0,0,0,0,0,0,0,0,0,1
adherent,aderente,0,0,0,0,0,0,0,0,0,0
adherence,aderenza,0,0,0,0,0,0,0,0,0,0
accede,aderire,0,0,0,0,0,0,0,0,0,0
adhere,aderire,0,0,0,0,0,0,0,0,0,0
join,aderire,1,0,0,0,0,0,0,0,0,0
entice,adescare,0,0,0,0,0,0,0,0,0,0
adhesion,adesione,0,0,0,0,0,0,0,0,0,0
adhesive,adesivo,0,0,0,0,0,0,0,0,0,0
sticking,adesivo,0,0,0,0,0,0,0,0,0,0
adjacent,adiacente,0,0,0,0,0,0,0,0,0,0
adjoining,adiacente,0,0,0,0,0,0,0,0,0,0
adjacency,adiacenza,0,0,0,0,0,0,0,0,0,0
adipose,adiposo,0,1,0,0,0,0,0,0,0,0
adjuvant,adiuvante,0,0,0,0,0,0,0,0,0,0
adobe,adobe,0,0,0,0,0,0,0,0,0,0
adolescent,adolescente,0,0,0,0,0,0,0,0,0,0
teens,adolescenti,1,1,0,0,0,0,0,0,0,0
adolescence,adolescenza,0,0,0,0,0,0,0,0,0,0
adorable,adorabile,1,0,0,0,0,0,1,0,0,0
adore,adorare,1,0,0,1,0,0,1,0,0,1
adoration,adorazione,1,0,0,0,0,0,1,0,0,1
adorn,adornare,0,0,0,0,0,0,0,0,0,0
adopt,adottare,0,0,0,0,0,0,0,0,0,0
adoption,adozione,0,0,0,0,0,0,0,0,0,0
flattery,adulazione,0,0,0,0,0,0,0,0,0,0
adultery,adulterio,0,1,0,0,1,0,0,1,0,0
adult,adulto,0,0,0,0,0,0,0,0,0,0
hooked,adunco,0,1,0,0,0,0,0,0,0,0
advisement,advisement,0,0,0,0,0,0,0,0,0,0
aeration,aerazione,0,0,0,0,0,0,0,0,0,0
aerial,aereo,0,0,0,0,0,0,0,0,0,0
aeroplane,aereo,0,0,0,0,0,0,0,0,0,0
airplane,aereo,0,0,0,0,0,0,0,0,0,0
plane,aereo,0,0,0,0,0,0,0,0,0,0
aerodynamics,aerodinamica,0,0,0,0,0,0,0,0,0,0
aerodrome,aerodromo,0,0,0,0,0,0,0,0,0,0
aeronautics,aeronautica,0,0,0,0,0,0,0,0,0,0
airport,aeroporto,0,0,0,1,0,0,0,0,0,0
affable,affabile,1,0,0,0,0,0,0,0,0,0
easygoing,affabile,1,0,0,0,0,0,0,0,0,0
hungry,Affamato,0,1,0,1,0,0,0,0,0,0
starving,affamato,0,1,0,0,0,0,0,0,0,0
labored,affannoso,0,1,0,0,0,0,0,1,0,0
affair,affare,0,0,0,0,0,0,0,0,0,0
bargain,affare,1,0,0,0,0,0,0,0,0,1
deal,affare,1,0,0,1,0,0,1,0,1,1
business,affari,0,0,0,0,0,0,0,0,0,0
charming,affascinante,1,0,0,0,0,0,0,0,0,0
fascinating,affascinante,1,0,0,0,0,0,0,0,0,0
captivate,affascinare,1,0,0,1,0,0,1,0,1,1
asserting,affermando,1,0,0,0,0,0,0,0,0,1
affirm,affermare,1,0,0,0,0,0,0,0,0,1
assert,affermare,0,0,0,0,0,0,0,0,0,0
affirmative,affermativa,1,0,0,0,0,0,0,0,0,0
affirmatively,affermativamente,1,0,0,0,0,0,0,0,0,1
affirmation,affermazione,1,0,0,0,0,0,0,0,0,0
grab,afferrare,0,1,1,0,0,0,0,0,0,0
affection,affetto,1,0,0,0,0,0,1,0,0,1
affections,affezioni,0,0,0,0,0,0,0,0,0,0
flanking,affiancando,0,0,0,0,0,0,0,0,0,0
affiche,affiche,0,0,0,0,0,0,0,0,0,0
reliable,affidabile,1,0,0,0,0,0,0,0,0,1
reliability,affidabilità,1,0,0,0,0,0,0,0,0,1
entrust,affidare,0,0,0,0,0,0,0,0,0,1
affidavit,affidavit,0,0,0,0,0,0,0,0,0,0
sharpener,affilacoltelli,0,0,0,0,0,0,0,0,0,0
sharpened,affilato,0,0,0,0,0,0,0,0,0,0
affiliated,affiliati,1,0,0,0,0,0,0,0,0,0
affiliation,affiliazione,0,0,0,0,0,0,0,0,0,0
sharpen,affinare,0,0,1,1,0,0,0,0,0,0
cognate,affine,0,0,0,0,0,0,0,0,0,0
kindred,affine,1,0,0,1,0,0,1,0,0,1
affinity,affinità,0,0,0,0,0,0,0,0,0,0
rent,affitto,0,0,0,0,0,0,0,0,0,0
afflict,affliggere,0,1,0,0,0,1,0,1,0,0
afflicted,afflitto,0,1,0,0,0,0,0,0,0,0
distressed,afflitto,0,1,0,0,0,1,0,0,0,0
affliction,afflizione,0,1,0,0,1,1,0,1,0,0
affluent,affluente,1,0,0,0,0,0,0,0,0,0
tributary,affluente,1,0,0,1,0,0,0,0,0,0
affluence,affluenza,1,0,0,0,0,0,1,0,0,0
influx,afflusso,0,0,0,0,0,0,0,0,0,0
crowded,affollato,0,0,0,0,0,0,0,0,0,0
sunk,affondato,0,1,0,0,1,1,0,1,0,0
fresco,affresco,0,0,0,0,0,0,0,0,0,0
expedite,affrettare,0,0,0,0,0,0,0,0,0,0
hasten,affrettare,0,0,0,0,0,0,0,0,0,0
confront,affrontare,0,0,1,0,0,0,0,0,0,0
tackle,affrontare,0,0,1,0,0,0,0,0,1,0
affront,affronto,0,1,1,0,1,1,0,1,1,0
tackling,affronto,0,0,0,0,0,0,0,0,0,0
tapering,affusolato,0,0,0,0,0,0,0,0,0,0
aphid,afide,0,1,0,0,1,0,0,0,0,0
sultry,afoso,1,0,0,0,0,0,0,0,0,0
aga,aga,1,0,0,0,0,1,0,0,0,1
agate,agata,0,0,0,0,0,0,0,0,0,0
agent,agente,0,0,0,0,0,0,0,0,0,0
stockbroker,agente di cambio,0,0,0,0,0,0,0,0,0,0
agency,agenzia,0,0,0,0,0,0,0,0,0,0
concessional,agevolati,0,0,0,0,0,0,0,0,0,0
adjective,aggettivo,0,0,0,0,0,0,0,0,0,0
adjournment,aggiornamento,0,0,0,0,0,0,0,0,0,0
adjourn,aggiornare,0,0,0,0,0,0,0,0,0,0
adjudication,aggiudicazione,0,0,0,0,0,0,0,0,0,0
add,aggiungere,0,0,0,0,0,0,0,0,0,0
append,aggiungere,0,0,0,0,0,0,0,0,0,0
addition,aggiunta,0,0,0,0,0,0,0,0,0,0
adjunct,aggiunta,1,0,0,0,0,0,0,0,0,0
added,aggiunto,0,0,0,0,0,0,0,0,0,0
agglomeration,agglomerazione,0,0,0,0,0,0,0,0,0,0
cling,aggrapparsi,0,0,0,0,0,0,0,0,0,0
aggravation,aggravamento,0,1,1,0,1,0,0,0,0,0
aggravating,aggravante,0,1,1,0,0,0,0,1,0,0
aggravated,aggravato,0,1,1,0,0,0,0,0,0,0
aggregate,aggregato,0,0,0,0,0,0,0,0,0,0
aggregation,aggregazione,0,0,0,0,0,0,0,0,0,0
aggression,aggressione,0,1,1,0,0,1,0,0,0,0
aggressive,aggressivo,0,1,1,0,0,1,0,0,0,0
aggressor,aggressore,0,1,1,0,0,1,0,0,0,0
entanglement,aggrovigliamento,0,1,0,0,0,0,0,0,0,0
nab,agguantare,0,1,0,0,0,0,0,0,1,0
ambush,agguato,0,1,1,0,0,1,0,0,1,0
agile,agile,1,0,0,0,0,0,0,0,0,0
nimble,agile,0,0,0,0,0,0,0,0,0,0
agility,agilità,1,0,0,0,0,0,0,0,0,0
stir,agitare,0,0,0,0,0,0,0,0,0,0
flustered,agitata,0,0,0,0,0,0,0,0,0,0
agitated,agitato,0,1,1,0,0,0,0,0,0,0
agitation,agitazione,0,1,1,0,0,0,0,0,0,0
commotion,agitazione,0,1,1,0,0,0,0,0,0,0
turmoil,agitazione,0,1,1,0,0,1,0,1,0,0
unrest,agitazione,0,0,0,0,0,1,0,1,0,0
garlic,aglio,0,0,0,0,0,0,0,0,0,0
lamb,agnello,1,0,0,0,0,0,1,0,0,1
agnostic,agnostico,0,0,0,0,0,0,0,0,0,0
needle,ago,1,0,0,0,0,0,0,0,0,0
agony,agonia,0,1,1,0,0,1,0,1,0,0
agonizing,agonizzante,0,1,0,0,0,1,0,0,0,0
acupuncture,agopuntura,0,0,0,0,0,0,0,0,0,0
agricultural,agricolo,0,0,0,0,0,0,0,0,0,0
agriculture,agricoltura,1,0,0,0,0,0,0,0,0,0
farming,agricoltura,0,0,0,0,0,0,0,0,0,0
husbandry,agricoltura,1,0,0,0,0,0,0,0,0,1
surveying,agrimensura,1,0,0,0,0,0,0,0,0,0
agua,agua,0,0,0,0,0,0,0,0,0,0
ail,ail,0,1,0,0,0,0,0,1,0,0
airbag,airbag,0,0,0,0,0,0,0,0,0,0
ait,ait,0,0,0,0,0,0,0,0,0,0
helper,aiutante,1,0,0,0,0,0,0,0,0,1
befriend,aiutare,1,0,0,0,0,0,1,0,0,1
aid,aiuto,1,0,0,0,0,0,0,0,0,0
conversant,al corrente,1,0,0,0,0,0,0,0,0,0
retail,Al dettaglio,0,0,0,0,0,0,0,0,0,0
upstairs,al piano di sopra,0,0,0,0,0,0,0,0,0,0
wing,ala,0,0,0,0,0,0,0,0,0,0
alabaster,alabastro,1,0,0,0,0,0,0,0,0,0
winged,alato,0,0,0,0,0,0,0,0,0,0
dawn,alba,1,0,0,1,0,0,1,0,1,1
daybreak,alba,0,0,0,0,0,0,0,0,0,0
sunrise,alba,0,0,0,0,0,0,0,0,0,0
shaft,albero,0,0,0,0,0,0,0,0,0,0
tree,albero,1,0,1,1,1,0,1,0,1,1
album,album,0,0,0,0,0,0,0,0,0,0
alkali,alcali,0,0,0,0,0,0,0,0,0,0
alkaloids,alcaloidi,0,0,0,0,0,0,0,0,0,0
elk,alce,0,0,0,0,0,0,0,0,0,0
moose,alce americano,0,0,0,0,0,0,0,0,0,0
alchemy,alchimia,0,0,0,0,0,0,0,0,0,0
alcohol,alcol,0,0,0,0,0,0,0,0,0,0
alcoholism,alcolismo,0,1,1,0,1,1,0,1,0,0
alcove,alcova,0,0,0,0,0,0,0,0,0,0
bore,alesaggio,0,1,0,0,0,0,0,0,0,0
fin,aletta,0,0,0,0,0,0,0,0,0,0
lug,aletta,0,0,0,0,0,0,0,0,0,0
alphabetical,alfabetico,0,0,0,0,0,0,0,0,0,0
alphabet,alfabeto,0,0,0,0,0,0,0,0,0,0
ensign,alfiere,1,0,0,0,0,0,0,0,0,0
algebra,algebra,0,0,0,0,0,0,0,0,0,0
algebraic,algebrica,0,0,0,0,0,0,0,0,0,0
algorithm,algoritmo,0,0,0,0,0,0,0,0,0,0
alibi,alibi,0,0,0,0,0,0,0,0,0,0
alienate,alienare,0,1,1,0,1,0,0,0,0,0
alienated,alienato,0,1,0,0,0,0,0,1,0,0
alienation,alienazione,0,1,1,0,1,1,0,1,0,0
alien,alieno,0,1,0,0,1,1,0,0,0,0
feeder,Alimentatore,0,0,0,0,0,0,0,0,0,0
alimentation,alimentazione,1,0,0,0,0,0,0,0,0,0
feed,alimentazione,0,0,0,0,0,0,0,0,0,0
alimony,alimenti,0,1,0,0,0,0,0,0,0,0
aliquot,aliquota,0,0,0,0,0,0,0,0,0,0
outdoor,all'aperto,0,0,0,0,0,0,0,0,0,0
abroad,all'estero,0,0,0,0,0,0,0,0,0,0
adrift,alla deriva,0,1,0,1,0,1,0,1,0,0
drifted,alla deriva,0,0,0,0,0,0,0,0,0,0
fashionable,alla moda,1,0,0,0,0,0,0,0,0,0
enlargement,allargamento,0,0,0,0,0,0,0,0,0,0
enlarged,allargata,0,0,0,0,0,0,0,0,0,0
alarming,allarmante,0,1,0,0,0,1,0,0,1,0
alarm,allarme,0,1,0,0,0,1,0,0,1,0
alert,allarme,0,0,0,0,0,0,0,0,0,0
alliance,alleanza,0,0,0,0,0,0,0,0,0,1
allied,alleato,1,0,0,0,0,0,0,0,0,1
ally,alleato,1,0,0,0,0,0,0,0,0,1
allege,allegare,0,1,0,0,0,0,0,0,0,0
attach,allegare,0,0,0,0,0,0,0,0,0,0
enclose,allegare,0,0,0,0,0,0,0,0,0,0
allegation,allegazione,0,1,1,0,0,0,0,0,0,0
lighten,alleggerire,0,0,0,0,0,0,0,0,0,0
allegory,allegoria,0,0,0,0,0,0,0,0,0,0
allegorical,allegorico,0,0,0,0,0,0,0,0,0,0
cheerfulness,allegria,1,0,0,1,0,0,1,0,0,1
merriment,allegria,1,0,0,0,0,0,1,0,1,0
allegro,allegro,1,0,0,0,0,0,0,0,0,0
cheerful,allegro,1,0,0,0,0,0,1,0,1,0
cheery,allegro,1,0,0,1,0,0,1,0,0,0
merry,allegro,1,0,0,0,0,0,1,0,0,0
spar,allenamento,0,0,0,0,0,0,0,0,0,0
coach,allenatore,0,0,0,0,0,0,0,0,0,1
trainer,allenatore,0,0,0,0,0,0,0,0,0,1
loosening,allentamento,0,0,0,0,0,0,0,0,0,0
loosen,allentare,0,0,0,0,0,0,0,0,0,0
